FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
34005700307,2027903,1074,34,"Census Tract 7003.07, Burlington County, New Jersey",2809,0.73
34005700401,1732988,0,34,"Census Tract 7004.01, Burlington County, New Jersey",1856,0.4
34005700402,1788710,3021,34,"Census Tract 7004.02, Burlington County, New Jersey",3481,4.28
34005700403,2104160,0,34,"Census Tract 7004.03, Burlington County, New Jersey",4491,2.78
34005700405,970696,0,34,"Census Tract 7004.05, Burlington County, New Jersey",1622,5.61
34005700407,2094595,0,34,"Census Tract 7004.07, Burlington County, New Jersey",5797,25.24
34005700408,1221255,0,34,"Census Tract 7004.08, Burlington County, New Jersey",2723,16.63
34005700501,5513413,128362,34,"Census Tract 7005.01, Burlington County, New Jersey",5673,12.52
34005700502,6043189,83246,34,"Census Tract 7005.02, Burlington County, New Jersey",2272,7.28
34005700503,4508714,2788,34,"Census Tract 7005.03, Burlington County, New Jersey",3522,3.39
34005700504,3555744,7066,34,"Census Tract 7005.04, Burlington County, New Jersey",3436,0
34005700505,18526269,331600,34,"Census Tract 7005.05, Burlington County, New Jersey",6508,1.97
34005700602,8165264,416653,34,"Census Tract 7006.02, Burlington County, New Jersey",6882,4.86
34005700603,6459164,1193118,34,"Census Tract 7006.03, Burlington County, New Jersey",6015,3.26
34005700605,2547198,0,34,"Census Tract 7006.05, Burlington County, New Jersey",5040,0.82
34005700701,1446641,93860,34,"Census Tract 7007.01, Burlington County, New Jersey",3456,14.94
34005700702,884300,5936,34,"Census Tract 7007.02, Burlington County, New Jersey",2241,22.01
34005700703,1513136,220534,34,"Census Tract 7007.03, Burlington County, New Jersey",2320,21.06
34005700800,6106175,2517418,34,"Census Tract 7008, Burlington County, New Jersey",4838,5.3
34005700900,1401843,555106,34,"Census Tract 7009, Burlington County, New Jersey",2489,16.56
34005701001,5074160,7737,34,"Census Tract 7010.01, Burlington County, New Jersey",4478,6.56
34005701002,2487094,397374,34,"Census Tract 7010.02, Burlington County, New Jersey",4471,18.06
34005701102,10750920,28258,34,"Census Tract 7011.02, Burlington County, New Jersey",6240,3.19
34005701103,9630124,784187,34,"Census Tract 7011.03, Burlington County, New Jersey",7021,0
34005701104,5153251,587096,34,"Census Tract 7011.04, Burlington County, New Jersey",4845,7.25
34005701105,9368635,89538,34,"Census Tract 7011.05, Burlington County, New Jersey",5875,7.35
34005701201,2391991,79681,34,"Census Tract 7012.01, Burlington County, New Jersey",2654,0
34005701203,2865917,1336883,34,"Census Tract 7012.03, Burlington County, New Jersey",2038,12.92
34005701204,788843,133070,34,"Census Tract 7012.04, Burlington County, New Jersey",3287,19.97
34005701205,1814432,310551,34,"Census Tract 7012.05, Burlington County, New Jersey",1925,2.02
34005701301,3234628,581086,34,"Census Tract 7013.01, Burlington County, New Jersey",5027,1.96
